BU Code,BU Name,Location,Business Type,Total Projects,Projects,Total Labor Rate,Labor Rates,Labor Rates copy,Projects_V2
ATX-RES,Austin Residential,ATX,Residential,2,"PJT-001,TEST-001",192,"IR01,IR02,IR04,IR05,IR06,IR07,LB04,M03,M04,M06,M07,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W15,W16,W17,W18",,
SA-RES,San Antonio Residential,SA,Residential,1,PJT-002,129,"IR01,IR02,IR04,IR05,IR06,IR07,LB04,M03,M04,M06,M07,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W15,W16,W17,W18",,
HOU-HB,Houston Home Builders,HOU,Home Builders,1,PJT-003,119,"IR01,IR02,IR04,IR05,IR06,IR07,LB04,M03,M04,M06,M07,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W15,W16,W17,W18",,
ATX-HB,Austin Home Builders,ATX,Home Builders,1,PJT-004,190,"IR01,IR02,IR04,IR05,IR06,IR07,LB04,M03,M04,M06,M07,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W15,W16,W17,W18",,
SA-HB,San Antonio Home Builders,SA,Home Builders,1,PJT-005,99,"IR01,IR02,IR04,IR05,IR06,IR07,LB04,M03,M04,M06,M07,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W15,W16,W17,W18",,
HOU-RES,Houston Residential,HOU,Residential,0,,129,"IR01,IR02,IR04,IR05,IR06,IR07,LB04,M03,M04,M06,M07,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W15,W16,W17,W18",,
